size,1,2,4,8,10,16,20,30
1000000,Данные: 10000000
Оценка Pi: 3.14175
Длительность: 0,627736,Данные: 10000000
Оценка Pi: 3.1421
Длительность: 0,307600,Данные: 10000000
Оценка Pi: 3.14076
Длительность: 0,155948,Данные: 10000000
Оценка Pi: 3.14043
Длительность: 0,079655,Данные: 10000000
Оценка Pi: 3.14221
Длительность: 0,092034,Данные: 10000000
Оценка Pi: 3.13974
Длительность: 0,061874,Данные: 10000000
Оценка Pi: 3.141
Длительность: 0,055345,Данные: 10000000
Оценка Pi: 3.13823
Длительность: 0,038758
10000000,Данные: 10000000
Оценка Pi: 3.14162
Длительность: 0,624710,Данные: 10000000
Оценка Pi: 3.14082
Длительность: 0,310699,Данные: 10000000
Оценка Pi: 3.14199
Длительность: 0,157408,Данные: 10000000
Оценка Pi: 3.13987
Длительность: 0,079647,Данные: 10000000
Оценка Pi: 3.14016
Длительность: 0,091221,Данные: 10000000
Оценка Pi: 3.14007
Длительность: 0,063404,Данные: 10000000
Оценка Pi: 3.14213
Длительность: 0,054842,Данные: 10000000
Оценка Pi: 3.13784
Длительность: 0,036522
